"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Coprobacter"	"patient_status"	"Control"	"patient_statusControl"	-2.19270199872342	0.312414540857523	0.407387112441835	0.000646897480698794	0.0582207732628914	0.000646897480698794	0.0316979765542409	NA	"abundance"	27	12
"Faecalibacterium"	"patient_status"	"Control"	"patient_statusControl"	-5.12937825662088	0.312414540857523	1.17827025789631	0.00157368052167373	0.0708156234753177	0.00157368052167373	0.0385551727810063	NA	"abundance"	27	11
"Erysipelatoclostridium"	"patient_status"	"Control"	"patient_statusControl"	2.84181653880176	0	0.964579786848522	0.00321734972611958	0.0965204917835873	0.00642434811297899	0.0885666776499445	NA	"prevalence"	27	15
"Catabacter"	"patient_status"	"Control"	"patient_statusControl"	-3.87611127139513	0.312414540857523	1.07416635077691	0.00722993286938323	0.162673489561123	0.00722993286938323	0.0885666776499445	NA	"abundance"	27	9
"Paraprevotella"	"patient_status"	"Control"	"patient_statusControl"	-0.968580835641608	0.312414540857523	0.216487511446742	0.00977040550783381	0.175867299141009	0.00977040550783381	0.0957499739767714	NA	"abundance"	27	10
"Subdoligranulum"	"patient_status"	"Control"	"patient_statusControl"	2.11020708516066	0.312414540857523	0.610159901969538	0.0162135065813256	0.233786129130638	0.0321641353669885	0.252252674895133	NA	"abundance"	27	22
"Barnesiella"	"patient_status"	"Control"	"patient_statusControl"	-2.02965740542143	0	0.859345988902366	0.0181833655990496	0.233786129130638	0.0360360964135905	0.252252674895133	NA	"prevalence"	27	14
"Bacteroides"	"patient_status"	"Control"	"patient_statusControl"	-0.690986313722635	0.312414540857523	0.35532321256129	0.0436415001591974	0.332014457612988	0.0853784197822496	0.380322051757294	NA	"abundance"	27	26
"Ruminococcus_1"	"patient_status"	"Control"	"patient_statusControl"	3.60476509759851	0.312414540857523	1.35987365671111	0.039379029366033	0.332014457612988	0.0772073507782551	0.380322051757294	NA	"abundance"	27	12
"[Ruminococcus]_gauvreauii_group"	"patient_status"	"Control"	"patient_statusControl"	1.55535516708968	0.312414540857523	0.475087902986055	0.0408433963371453	0.332014457612988	0.0800186096499374	0.380322051757294	NA	"abundance"	27	21
"uncultured_bacterium"	"patient_status"	"Control"	"patient_statusControl"	-1.59934841141268	0.312414540857523	0.806256176062701	0.0580525872752982	0.388679477028597	0.11273507166124	0.424834958516358	NA	"abundance"	27	10
"[Ruminococcus]_gauvreauii_group"	"patient_status"	"Control"	"patient_statusControl"	3.85870850446509	0	2.05533072129445	0.0604612519822262	0.388679477028597	0.0800186096499374	0.380322051757294	NA	"prevalence"	27	21
"[Eubacterium]_rectale_group"	"patient_status"	"Control"	"patient_statusControl"	1.62272636829033	0.312414540857523	0.563419376007706	0.0679582896974831	0.407749738184898	0.131298250256359	0.424834958516358	NA	"abundance"	27	12
"Dielma"	"patient_status"	"Control"	"patient_statusControl"	1.31753872962411	0.312414540857523	0.404437726128105	0.0775131090504129	0.409741498196333	0.149017936026165	0.424834958516358	NA	"abundance"	27	12
"[Clostridium]_innocuum_group"	"patient_status"	"Control"	"patient_statusControl"	1.46644802097318	0.312414540857523	0.574962875001928	0.090095071621388	0.409741498196333	0.172073021312313	0.424834958516358	NA	"abundance"	27	25
"Ruminococcaceae_UCG-014"	"patient_status"	"Control"	"patient_statusControl"	-3.5547057495751	0	2.05868904979547	0.0842244039724472	0.409741498196333	0.0842244039724472	0.380322051757294	NA	"prevalence"	27	5
"Ruminococcus_2"	"patient_status"	"Control"	"patient_statusControl"	-1.38831551656063	0	0.833053730958223	0.0956063495791443	0.409741498196333	0.182072125078439	0.424834958516358	NA	"prevalence"	27	10
"[Eubacterium]_fissicatena_group"	"patient_status"	"Control"	"patient_statusControl"	1.38831551656063	0	0.833053730958223	0.0956063495791441	0.409741498196333	0.182072125078439	0.424834958516358	NA	"prevalence"	27	17
"uncultured_1"	"patient_status"	"Control"	"patient_statusControl"	3.55470574957509	0	2.05868904979546	0.0842244039724466	0.409741498196333	0.161355057720379	0.424834958516358	NA	"prevalence"	27	22
"Ruminiclostridium_9"	"patient_status"	"Control"	"patient_statusControl"	3.06293038892701	0.312414540857523	0.36110996215684	0.10960711094485	0.42889739065376	0.207200503120022	0.461492029676413	NA	"abundance"	27	3
"Clostridium_sensu_stricto_1"	"patient_status"	"Control"	"patient_statusControl"	3.44169927383711	0	2.12748289231153	0.105720151765477	0.42889739065376	0.105720151765477	0.424834958516358	NA	"prevalence"	27	5
"Lachnospiraceae_ND3007_group"	"patient_status"	"Control"	"patient_statusControl"	-1.65032527663209	0.312414540857523	1.110115780678	0.130653999357868	0.489952497592006	0.24423753116753	0.520332131617782	NA	"abundance"	27	9
"Anaerotruncus"	"patient_status"	"Control"	"patient_statusControl"	1.33860311691113	0.312414540857523	0.576337801520016	0.158646389183291	0.509934822374864	0.292124101565686	0.572563239068744	NA	"abundance"	27	9
"Flavonifractor"	"patient_status"	"Control"	"patient_statusControl"	-0.695416083500905	0.312414540857523	0.601165563723299	0.156197916971994	0.509934822374864	0.287998044677598	0.572563239068744	NA	"abundance"	27	15
"Ruminococcus_2"	"patient_status"	"Control"	"patient_statusControl"	-1.21708390280275	0.312414540857523	0.941461162339405	0.158638719034653	0.509934822374864	0.182072125078439	0.424834958516358	NA	"abundance"	27	10
"uncultured_2"	"patient_status"	"Control"	"patient_statusControl"	3.12824775627401	0	2.13548545883393	0.142951383577116	0.509934822374864	0.142951383577116	0.424834958516358	NA	"prevalence"	27	4
"Butyricicoccus"	"patient_status"	"Control"	"patient_statusControl"	-2.85676110649928	0	2.0814082211621	0.169903605723575	0.526841849709277	0.169903605723575	0.424834958516358	NA	"prevalence"	27	3
"Fusicatenibacter"	"patient_status"	"Control"	"patient_statusControl"	-1.23861712668075	0	0.914524441552744	0.175613949903092	0.526841849709277	0.320387640405618	0.59905212875973	NA	"prevalence"	27	7
"Odoribacter"	"patient_status"	"Control"	"patient_statusControl"	-1.05615714873404	0	0.790483195239087	0.181519669448471	0.526992588721366	0.330089948500259	0.59905212875973	NA	"prevalence"	27	15
"Subdoligranulum"	"patient_status"	"Control"	"patient_statusControl"	-1.40997584263662	0	1.10449987826522	0.201752681118837	0.567429415646729	0.0321641353669885	0.252252674895133	NA	"prevalence"	27	22
"Odoribacter"	"patient_status"	"Control"	"patient_statusControl"	-0.363760762997374	0.312414540857523	0.433439653137464	0.22054624444938	0.601489757589217	0.330089948500259	0.59905212875973	NA	"abundance"	27	15
"Coprococcus_2"	"patient_status"	"Control"	"patient_statusControl"	-2.80077597783621	0.312414540857523	2.29953838035311	0.248875619099055	0.623219538401696	0.435812164416173	0.689842889544155	NA	"abundance"	27	6
"Holdemania"	"patient_status"	"Control"	"patient_statusControl"	0.981249292084536	0.312414540857523	0.435452268288071	0.249287815360678	0.623219538401696	0.436431215834057	0.689842889544155	NA	"abundance"	27	9
"uncultured"	"patient_status"	"Control"	"patient_statusControl"	1.01985294828816	0.312414540857523	0.505411168716202	0.239930145001418	0.623219538401696	0.422293815522434	0.689842889544155	NA	"abundance"	27	24
"[Clostridium]_innocuum_group"	"patient_status"	"Control"	"patient_statusControl"	2.39459488863534	0	2.11217486699372	0.25691599103581	0.624930789006025	0.172073021312313	0.424834958516358	NA	"prevalence"	27	25
"Escherichia-Shigella"	"patient_status"	"Control"	"patient_statusControl"	-0.404773472470045	0.312414540857523	0.664189991569283	0.326213714655108	0.656904470064574	0.546012041681132	0.715466607349473	NA	"abundance"	27	26
"Anaerotruncus"	"patient_status"	"Control"	"patient_statusControl"	0.873298971060959	0	0.8288906970199	0.292077288619225	0.656904470064574	0.292124101565686	0.572563239068744	NA	"prevalence"	27	9
"Coprococcus_2"	"patient_status"	"Control"	"patient_statusControl"	-0.912360419006755	0	0.931782195336443	0.327502750683913	0.656904470064574	0.435812164416173	0.689842889544155	NA	"prevalence"	27	6
"Eisenbergiella"	"patient_status"	"Control"	"patient_statusControl"	0.714258489893978	0	0.772324819902039	0.355061532661067	0.656904470064574	0.584054373346508	0.715466607349473	NA	"prevalence"	27	15
"Epulopiscium"	"patient_status"	"Control"	"patient_statusControl"	1.0493703335327	0	1.132827621263	0.354275370632825	0.656904470064574	0.583039703028624	0.715466607349473	NA	"prevalence"	27	4
"Eubacterium"	"patient_status"	"Control"	"patient_statusControl"	-0.729900441060047	0	0.770065306715446	0.343209762764614	0.656904470064574	0.568626584272285	0.715466607349473	NA	"prevalence"	27	14
"Holdemania"	"patient_status"	"Control"	"patient_statusControl"	0.87329897106096	0	0.8288906970199	0.292077288619225	0.656904470064574	0.436431215834057	0.689842889544155	NA	"prevalence"	27	9
"Parabacteroides"	"patient_status"	"Control"	"patient_statusControl"	-1.0493703335327	0	1.132827621263	0.354275370632825	0.656904470064574	0.583039703028624	0.715466607349473	NA	"prevalence"	27	23
"Ruminiclostridium_5"	"patient_status"	"Control"	"patient_statusControl"	1.20360043418566	0	1.12949413178307	0.286599899802542	0.656904470064574	0.491060297038257	0.715466607349473	NA	"prevalence"	27	23
"Ruminococcaceae_UCG-004"	"patient_status"	"Control"	"patient_statusControl"	0.778884092196996	0	0.787105037068757	0.322391446193931	0.656904470064574	0.540846647808848	0.715466607349473	NA	"prevalence"	27	11
"Ruminococcus_1"	"patient_status"	"Control"	"patient_statusControl"	-0.714258489893978	0	0.772324819902039	0.355061532661068	0.656904470064574	0.0772073507782551	0.380322051757294	NA	"prevalence"	27	12
"[Eubacterium]_coprostanoligenes_group"	"patient_status"	"Control"	"patient_statusControl"	-0.620279492053867	0.312414540857523	0.928826082529001	0.370184525923613	0.659173183288886	0.603332468613936	0.721055877123972	NA	"abundance"	27	8
"[Eubacterium]_fissicatena_group"	"patient_status"	"Control"	"patient_statusControl"	-0.4655964386158	0.312414540857523	0.812076242646667	0.373531470530369	0.659173183288886	0.182072125078439	0.424834958516358	NA	"abundance"	27	17
"Ruminococcaceae_UCG-013"	"patient_status"	"Control"	"patient_statusControl"	-0.186320183838942	0.312414540857523	0.49155744354263	0.381979644960683	0.661118616278106	0.381979644960683	0.668464378681196	NA	"abundance"	27	27
"Halomonas"	"patient_status"	"Control"	"patient_statusControl"	-1.2671626360055	0.312414540857523	1.74548039571548	0.43423328540303	0.697874922969156	0.679908024654151	0.774778911815196	NA	"abundance"	27	5
"Bacteroides"	"patient_status"	"Control"	"patient_statusControl"	1.71827191363737	0	2.1940155240944	0.433531363600776	0.697874922969156	0.0853784197822496	0.380322051757294	NA	"prevalence"	27	26
"Escherichia-Shigella"	"patient_status"	"Control"	"patient_statusControl"	1.71827191363737	0	2.1940155240944	0.433531363600776	0.697874922969156	0.546012041681132	0.715466607349473	NA	"prevalence"	27	26
"[Ruminococcus]_gnavus_group"	"patient_status"	"Control"	"patient_statusControl"	0.733652867639327	0	0.931395935195792	0.430877049052434	0.697874922969156	0.676099066704734	0.774778911815196	NA	"prevalence"	27	6
"Akkermansia"	"patient_status"	"Control"	"patient_statusControl"	0.638582786359306	0.312414540857523	0.377098324669584	0.498711386247392	0.763162258287034	0.498711386247392	0.715466607349473	NA	"abundance"	27	27
"Eisenbergiella"	"patient_status"	"Control"	"patient_statusControl"	0.912744402664756	0.312414540857523	0.799727596865799	0.48498074310579	0.763162258287034	0.584054373346508	0.715466607349473	NA	"abundance"	27	15
"Hungatella"	"patient_status"	"Control"	"patient_statusControl"	-0.0409467147984356	0.312414540857523	0.438700328070753	0.500295258210389	0.763162258287034	0.500295258210389	0.715466607349473	NA	"abundance"	27	27
"Eubacterium"	"patient_status"	"Control"	"patient_statusControl"	0.0567864427534882	0.312414540857523	0.263689778495072	0.526412002283642	0.771683200778795	0.568626584272285	0.715466607349473	NA	"abundance"	27	14
"uncultured"	"patient_status"	"Control"	"patient_statusControl"	0.741434216321727	0	1.1852339344498	0.531603982758726	0.771683200778795	0.422293815522434	0.689842889544155	NA	"prevalence"	27	24
"uncultured_bacterium"	"patient_status"	"Control"	"patient_statusControl"	0.501611035659949	0	0.790483195239087	0.525713756619901	0.771683200778795	0.11273507166124	0.424834958516358	NA	"prevalence"	27	10
"Fusicatenibacter"	"patient_status"	"Control"	"patient_statusControl"	1.67560191781407	0.312414540857523	2.11006849552414	0.546107167067074	0.780153095810106	0.320387640405618	0.59905212875973	NA	"abundance"	27	7
"Erysipelatoclostridium"	"patient_status"	"Control"	"patient_statusControl"	-0.494985245166976	0.312414540857523	1.39616511775426	0.574533510866555	0.784255095779093	0.00642434811297899	0.0885666776499445	NA	"abundance"	27	15
"uncultured_1"	"patient_status"	"Control"	"patient_statusControl"	0.739439148273138	0.312414540857523	0.695770355252915	0.572425742312148	0.784255095779093	0.161355057720379	0.424834958516358	NA	"abundance"	27	22
"Halomonas"	"patient_status"	"Control"	"patient_statusControl"	-0.540672483605745	0	0.964579786848523	0.575120403571335	0.784255095779093	0.679908024654151	0.774778911815196	NA	"prevalence"	27	5
"Lachnospiraceae_ND3007_group"	"patient_status"	"Control"	"patient_statusControl"	-0.426457993300428	0	0.802755453200539	0.595250590420191	0.78783166379143	0.24423753116753	0.520332131617782	NA	"prevalence"	27	9
"[Eubacterium]_xylanophilum_group"	"patient_status"	"Control"	"patient_statusControl"	-0.460806794730633	0	0.860033632108699	0.592096159624767	0.78783166379143	0.833614457007136	0.916924007161377	NA	"prevalence"	27	7
"Parabacteroides"	"patient_status"	"Control"	"patient_statusControl"	0.722594936315501	0.312414540857523	0.762463722276268	0.613561506438107	0.790558939429876	0.583039703028624	0.715466607349473	NA	"abundance"	27	23
"Ruminiclostridium_9"	"patient_status"	"Control"	"patient_statusControl"	0.59781670925696	0	1.18821647691114	0.614879175112126	0.790558939429876	0.207200503120022	0.461492029676413	NA	"prevalence"	27	3
"Anaerostipes"	"patient_status"	"Control"	"patient_statusControl"	0.524301949435192	0.312414540857523	0.380831691247367	0.672579874733272	0.84072484341659	0.89279606157032	0.951021891672732	NA	"abundance"	27	8
"[Ruminococcus]_gnavus_group"	"patient_status"	"Control"	"patient_statusControl"	-0.569014247025377	0.312414540857523	1.89284042044148	0.665245224681873	0.84072484341659	0.676099066704734	0.774778911815196	NA	"abundance"	27	6
"Barnesiella"	"patient_status"	"Control"	"patient_statusControl"	-0.0380659026629357	0.312414540857523	1.00541342327513	0.745198634907738	0.902473688438435	0.0360360964135905	0.252252674895133	NA	"abundance"	27	14
"Blautia"	"patient_status"	"Control"	"patient_statusControl"	-0.271486649774576	0	0.859345988902366	0.752061407032029	0.902473688438435	0.938526454117063	0.954680218238389	NA	"prevalence"	27	20
"Roseburia"	"patient_status"	"Control"	"patient_statusControl"	0.271486649774576	0	0.859345988902366	0.752061407032029	0.902473688438435	0.938526454117063	0.954680218238389	NA	"prevalence"	27	7
"Ruminiclostridium_5"	"patient_status"	"Control"	"patient_statusControl"	0.467732471212783	0.312414540857523	0.462284487993329	0.773826086853169	0.916372997589279	0.491060297038257	0.715466607349473	NA	"abundance"	27	23
"Lachnoclostridium"	"patient_status"	"Control"	"patient_statusControl"	0.525524867761324	0.312414540857523	0.746891307392414	0.787115567122415	0.9200052083249	0.954680218238389	0.954680218238389	NA	"abundance"	27	25
"Alistipes"	"patient_status"	"Control"	"patient_statusControl"	0.40344508658809	0.312414540857523	0.355177530653088	0.842073067801265	0.938778149841567	0.842073067801265	0.916924007161377	NA	"abundance"	27	27
"Blautia"	"patient_status"	"Control"	"patient_statusControl"	0.464012223306863	0.312414540857523	0.791448329333551	0.8551278206076	0.938778149841567	0.938526454117063	0.954680218238389	NA	"abundance"	27	20
"Dielma"	"patient_status"	"Control"	"patient_statusControl"	-0.128648423457231	0	0.761035359544823	0.865762071520557	0.938778149841567	0.149017936026165	0.424834958516358	NA	"prevalence"	27	12
