feature	Akkermansia	Alistipes	Anaerostipes	Anaerotruncus	Bacteroides	Barnesiella	Blautia	Butyricicoccus	Catabacter	Clostridium_sensu_stricto_1	Coprobacter	Coprococcus_2	Dielma	Eisenbergiella	Epulopiscium	Erysipelatoclostridium	Escherichia-Shigella	Eubacterium	Faecalibacterium	Flavonifractor	Fusicatenibacter	Halomonas	Holdemania	Hungatella	Lachnoclostridium	Lachnospiraceae_ND3007_group	Odoribacter	Parabacteroides	Paraprevotella	Roseburia	Ruminiclostridium_5	Ruminiclostridium_9	Ruminococcaceae_UCG-004	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Ruminococcus_2	Subdoligranulum	[Clostridium]_innocuum_group	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_fissicatena_group	[Eubacterium]_rectale_group	[Eubacterium]_xylanophilum_group	[Ruminococcus]_gauvreauii_group	[Ruminococcus]_gnavus_group	uncultured	uncultured_1	uncultured_2	uncultured_bacterium
A110	-5.00289313213201	-6.13664452102084	-7.76342719743663	NA	-0.29084386110511	-8.85089003868696	-6.45171894486714	NA	NA	NA	NA	-12.002893132132	NA	NA	NA	NA	-8.4585726159082	NA	-6.35903694235729	-11.2659275379658	-12.002893132132	-10.9248906201307	NA	-6.4585726159082	NA	-6.43810851334849	-9.92489062013074	-5.74655337887223	NA	-6.12296958412377	-11.850890038687	NA	-10.9248906201307	-5.47411346680398	NA	NA	NA	-7.20127457962356	-7.32106909215827	NA	-8.64925617751731	NA	-8.44489767901113	-8.94399944307845	NA	NA	-9.21862182318745	NA	-12.002893132132
A12	-4.37013181519431	-6.70817100325644	NA	NA	-0.498874030159491	-7.59685398039228	-6.65515262095695	NA	-7.56157850564475	NA	-7.04074634234331	NA	-10.554625745003	-7.96044471425245	NA	NA	-4.46390257458906	-5.83510528529619	-6.83721294825818	NA	NA	NA	NA	-6.12320850253528	-6.57207087946239	NA	-9.12578244619911	-4.14915695457292	-5.23825717545752	NA	-10.6112092733694	NA	NA	-7.06030860872183	NA	NA	NA	-10.2106713437856	NA	-9.89751345852599	NA	-6.8414375341199	NA	NA	NA	-9.00713794970049	NA	NA	NA
A15	-3.66498635653874	-3.99729893357391	-6.47470829314026	NA	-2.52265327448732	-4.58449643867837	-3.25409368477172	-7.96345547860211	NA	NA	NA	-5.18294216876315	NA	NA	-7.91765178898899	NA	-9.59572369410163	NA	-2.94108766557366	-10.0107611933805	-6.35540936476792	NA	NA	-5.36690500360575	-10.4582201703517	-3.88285282641172	-7.50826085285129	NA	NA	NA	-10.7477267875467	NA	-10.1102968669314	-5.20684535528964	NA	-9.39408983293198	-8.96345547860211	-3.78450957658839	-5.98101384998642	NA	-8.33268928826783	NA	-7.27379559921426	-9.16276428682552	-3.14698789607223	-9.05967079386142	-9.2172120708479	NA	NA
A19	-6.01810488663165	-7.32528639614983	NA	NA	-0.56086457589893	-11.5074897273706	NA	-7.79007693062577	-9.05818232600698	NA	-7.36872565741472	NA	-9.32528639614982	-11.1204666042613	NA	NA	-5.05945286333339	-6.11253242271911	-3.43891812441465	-7.72411366824741	NA	-10.5640732557369	NA	-5.01071275240161	-5.05564460320508	NA	-8.25373313512479	-5.04176636286555	-5.97670826480048	NA	-10.3010388499031	NA	NA	-6.01810488663165	-9.0994049887335	-12.4005745234541	-8.59321960139646	-7.43314238591049	-9.8860013506243	NA	NA	-9.32528639614982	NA	NA	NA	-10.1204666042613	NA	NA	-8.43974512073474
A21	-6.19194046496581	-7.12482626910727	NA	-9.77690296568696	-0.498785428563284	-8.49679504649423	NA	-9.26232979285721	-7.88381816960348	NA	-7.53986376838611	NA	-9.99929538702341	NA	NA	NA	-4.31747134704967	-5.68944012443662	-5.11665233766157	-9.58425788774457	NA	NA	NA	-5.92604640499277	-6.29885566888232	NA	-8.06069593168755	-4.44470653534577	-5.52897545224338	NA	-9.41433288630225	NA	NA	-4.58990445088571	-10.2623297928572	-10.2623297928572	-8.67736729213605	-8.58425788774457	-10.5842578877446	NA	-9.99929538702341	NA	NA	NA	NA	-7.99929538702341	NA	NA	NA
A23	-2.89595067557836	-5.31508092949109	-7.83591309279253	NA	-1.07118570666857	-5.4646572855416	-4.48911032926614	NA	-11.3594750488495	NA	NA	-6.8048861971719	NA	NA	NA	NA	NA	NA	NA	-9.35947504884954	-7.65903533070845	NA	NA	-3.57157248945811	-6.93321029414744	-5.45258445324102	-8.11154753540596	-4.34824779342629	NA	-6.38219512534962	-9.55212012679194	NA	-7.45258445324102	-5.20972792934486	NA	NA	-7.60458754668607	-4.97577075637549	-6.2720122075992	NA	-8.45258445324102	NA	-7.60458754668607	-8.18955004740723	NA	-9.35947504884954	-10.7745125481284	NA	NA
A25	-4.55668021958321	-6.45539688374603	NA	NA	-1.00768321614993	-8.01611183822051	-4.51786097069269	NA	-8.4800589379803	NA	-6.55668021958321	NA	-8.12858656747892	NA	NA	NA	-3.98048792848979	-5.09486594963492	-3.39552542776863	NA	NA	NA	NA	-6.05263771424563	-5.04341918421625	NA	-8.12858656747892	-4.61352607998792	-5.02515697782352	NA	-11.0161118382205	NA	NA	-6.75307743238672	-6.67982845035608	-7.78345108143024	-7.12858656747892	-5.0388319147206	-7.45539688374603	-9.33803993310787	NA	NA	NA	NA	NA	-9.33803993310787	-9.75307743238672	NA	-7.78345108143024
A28	-4.69634050295451	-6.69634050295451	NA	NA	-0.89363875761796	-7.45715283907508	-4.2092253256315	NA	-7.1676462218801	NA	-7.23476041773863	NA	NA	-9.04211533979624	NA	NA	-5.37915032707381	-4.56098865005962	-4.01605304321004	NA	-10.30514974563	NA	-9.30514974563003	-5.91283232285127	-5.9266381223763	-9.30514974563003	-8.04211533979624	-4.52904575755687	-4.78158778957302	NA	-8.53961499926705	-10.6270778405174	NA	-7.81972291845979	-5.94057731333417	-8.72018724490887	-6.87219033835393	-4.97602614933847	-6.9546524985459	-7.49779482357243	NA	-7.49779482357243	NA	NA	NA	-8.23476041773863	-11.0421153397962	NA	NA
A29	-6.10349763970334	-6.74735382947806	NA	NA	-0.378847367970369	-9.16239132875691	-8.74735382947806	NA	-7.57742882803575	NA	-7.57742882803575	NA	NA	-9.16239132875691	NA	NA	-4.38980182485998	-6.1623913287569	NA	NA	NA	NA	NA	-6.04691411133697	-7.93999890742046	NA	-8.4254257345907	-4.51853513898218	-5.10349763970334	NA	-10.7473538294781	NA	NA	-6.49942631603448	-7.57742882803575	NA	-8.74735382947806	-7.04691411133697	NA	NA	NA	-7.28792221084076	NA	NA	NA	-9.74735382947806	NA	NA	NA
A34	-3.64518096226318	-5.67321289790529	-6.79907585388655	NA	-0.728354452097748	-7.19039728419158	-4.33602573563249	NA	NA	NA	NA	-9.39203114536123	NA	NA	NA	-9.12899673952744	-7.24363930546856	NA	-8.39203114536123	-8.59848202282866	-8.34472543058288	-7.41627869160791	NA	-4.31592816627544	-8.46603172680501	-5.23014346298434	NA	-4.5967490556042	NA	-5.38902865719971	NA	NA	-9.12899673952744	-5.9860387856854	NA	NA	NA	-6.30456830411089	-7.0894683753408	NA	-9.39203114536123	NA	-7.07010305047387	-6.78322190268571	NA	NA	-7.64071025821796	NA	-9.16963872402479
