feature	Akkermansia	Alistipes	Anaerostipes	Anaerotruncus	Bacteroides	Barnesiella	Blautia	Butyricicoccus	Catabacter	Clostridium_sensu_stricto_1	Coprobacter	Coprococcus_2	Dielma	Eisenbergiella	Epulopiscium	Erysipelatoclostridium	Escherichia-Shigella	Eubacterium	Faecalibacterium	Flavonifractor	Fusicatenibacter	Halomonas	Holdemania	Hungatella	Lachnoclostridium	Lachnospiraceae_ND3007_group	Odoribacter	Parabacteroides	Paraprevotella	Roseburia	Ruminiclostridium_5	Ruminiclostridium_9	Ruminococcaceae_UCG-004	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Ruminococcus_2	Subdoligranulum	[Clostridium]_innocuum_group	[Eubacterium]_coprostanoligenes_group	[Eubacterium]_fissicatena_group	[Eubacterium]_rectale_group	[Eubacterium]_xylanophilum_group	[Ruminococcus]_gauvreauii_group	[Ruminococcus]_gnavus_group	uncultured	uncultured_1	uncultured_2	uncultured_bacterium
A110	0.0311873950944826	0.0142130055769127	0.0046023065677622	NA	0.817423791217716	0.00216579132600574	0.0114245492446803	NA	NA	NA	NA	0.000243651524175646	NA	NA	NA	NA	0.00284260111538253	NA	0.0121825762087823	0.000406085873626076	0.000243651524175646	0.000514375439926363	NA	0.0113704044615301	NA	0.0115328388109806	0.00102875087985273	0.0186258054036494	NA	0.014348367534788	0.000270723915750717	NA	0.000514375439926363	0.0224971573988846	NA	NA	NA	0.00679517028534301	0.00625372245384157	NA	0.0024906600249066	NA	0.0028696735069576	0.00203042936813038	NA	NA	0.00167848827765445	NA	0.000243651524175646
A12	0.0483569875974939	0.00956399437412096	NA	NA	0.707658867152538	0.00516557984912415	0.00992200485871372	NA	0.00529344073647871	NA	0.00759493670886076	NA	0.000664876614243703	0.00401483186293313	NA	NA	0.0453138984784554	0.0175169415675745	0.00874568469505178	NA	NA	NA	NA	0.0143459915611814	0.0105101649405447	NA	0.00179005242296382	0.0563610791458893	0.0264927758598645	NA	0.000639304436772791	NA	NA	0.00749264799897711	NA	NA	NA	0.000843881856540084	NA	0.00104845927630738	NA	0.00872011251758087	NA	NA	NA	0.00194348548778929	NA	NA	NA
A15	0.0788368336025848	0.0626171243941842	0.0112439418416801	NA	0.174022617124394	0.0416801292407108	0.104814216478191	0.0040064620355412	NA	NA	NA	0.0275282714054927	NA	NA	0.0041357027463651	NA	0.0012924071082391	NA	0.130210016155089	0.000969305331179321	0.0122132471728595	NA	NA	0.024232633279483	0.000710823909531502	0.0677867528271406	0.00549273021001615	NA	NA	NA	0.000581583198707593	NA	0.000904684975767367	0.027075928917609	NA	0.00148626817447496	0.0020032310177706	0.0725686591276252	0.0158319870759289	NA	0.00310177705977383	NA	0.00646203554119548	0.00174474959612278	0.112891760904685	0.00187399030694669	0.00168012924071082	NA	NA
A19	0.015430141619108	0.00623546818854365	NA	NA	0.67789579370112	0.000343479179877404	NA	0.00451807228915663	0.00187592475163813	NA	0.00605051786091735	NA	0.00155886704713591	0.000449165081378144	NA	NA	0.0299883745508349	0.0144525470302262	0.0922109490593955	0.00472944409215811	NA	0.000660536884379624	NA	0.0310188120904671	0.0300676389769605	NA	0.00327626294652293	0.0303582752060875	0.0158793067004862	NA	0.000792644261255549	NA	NA	0.015430141619108	0.00182308180088776	0.000184950327626295	0.00258930458676813	0.0057863031071655	0.0010568590150074	NA	NA	0.00155886704713591	NA	NA	NA	0.000898330162756288	NA	NA	0.00287994081589516
A21	0.0136785539814362	0.00716495684741899	NA	0.00113987949845302	0.707702328610975	0.00276827878195734	NA	0.00162839928350432	0.00423383813711122	NA	0.00537371763556424	NA	0.000977039570102589	NA	NA	NA	0.0501546979319329	0.0193779514737013	0.0288226673180264	0.00130271942680345	NA	NA	NA	0.0164468327633936	0.0127015144113337	NA	0.00374531835205993	0.0459208597948217	0.0216577104706074	NA	0.00146555935515388	NA	NA	0.04152418172936	0.000814199641752158	0.000814199641752158	0.00244259892525647	0.0026054388536069	0.000651359713401726	NA	0.000977039570102589	NA	NA	NA	NA	0.00390815828041036	NA	NA	NA
A23	0.134348239771646	0.0251189343482398	0.0043767840152236	NA	0.47592768791627	0.0226450999048525	0.0445290199809705	NA	0.000380589914367269	NA	NA	0.00894386298763083	NA	NA	NA	NA	NA	NA	NA	0.00152235965746908	0.0049476688867745	NA	NA	0.0841103710751665	0.00818268315889629	0.0228353948620362	0.00361560418648906	0.0490960989533777	NA	0.011988582302569	0.00133206470028544	NA	0.00570884871550904	0.0270218839200761	NA	NA	0.00513796384395813	0.031779257849667	0.0129400570884872	NA	0.00285442435775452	NA	0.00513796384395813	0.00342530922930542	NA	0.00152235965746908	0.000570884871550904	NA	NA
A25	0.0424915499758571	0.0113954611298889	NA	NA	0.497344278126509	0.00386286817962337	0.0436504104297441	NA	0.00280057943022694	NA	0.0106228874939643	NA	0.00357315306615162	NA	NA	NA	0.0633510381458233	0.029261226460647	0.0950265572187349	NA	NA	NA	NA	0.0150651859005311	0.0303235152100435	NA	0.00357315306615162	0.0408498309995171	0.0307098020280058	NA	0.000482858522452921	NA	NA	0.00927088363109609	0.00975374215354901	0.00453887011105746	0.00714630613230324	0.030420086914534	0.00569773056494447	0.00154514727184935	NA	NA	NA	NA	NA	0.00154514727184935	0.00115886045388701	NA	0.00453887011105746
A28	0.038570976920645	0.00964274423016124	NA	NA	0.538254821372115	0.00569079987353778	0.0540625987986089	NA	0.00695542206765729	NA	0.00663926651912741	NA	NA	0.00189693329117926	NA	NA	0.0240278216882706	0.0423648435030035	0.0618084097375909	NA	0.000790388871324692	NA	0.00158077774264938	0.0165981662978185	0.0164400885235536	0.00158077774264938	0.00379386658235852	0.0433133101485931	0.0363578880809358	NA	0.00268732216250395	0.000632311097059753	NA	0.00442617767941827	0.0162820107492887	0.00237116661397408	0.00853619981030667	0.0317736326272526	0.00806196648751186	0.00553272209927284	NA	0.00553272209927284	NA	NA	NA	0.00331963325956371	0.000474233322794815	NA	NA
A29	0.014543339150669	0.00930773705642816	NA	NA	0.769051774287376	0.00174520069808028	0.00232693426410704	NA	0.00523560209424084	NA	0.00523560209424084	NA	NA	0.00174520069808028	NA	NA	0.0477021524141943	0.0139616055846422	NA	NA	NA	NA	NA	0.0151250727166958	0.00407213496218732	NA	0.0029086678301338	0.043630017452007	0.029086678301338	NA	0.00058173356602676	NA	NA	0.0110529377545084	0.00523560209424084	NA	0.00232693426410704	0.00756253635834788	NA	NA	NA	0.00639906922629436	NA	NA	NA	0.00116346713205352	NA	NA	NA
A34	0.0799265727326851	0.0195971422901369	0.00897995634054376	NA	0.603591982536217	0.00684659654693392	0.0495137924191308	NA	NA	NA	NA	0.00148839055368129	NA	NA	NA	0.00178606866441754	0.0065985314546537	NA	0.00297678110736257	0.00257987695971423	0.00307600714427466	0.00585433617781306	NA	0.0502083746775154	0.00282794205199444	0.026642190910895	NA	0.0413276443738837	NA	0.0238638618773566	NA	NA	0.00178606866441754	0.0157769398690216	NA	NA	NA	0.0126513197062909	0.00734272673149434	NA	0.00148839055368129	NA	0.00744195276840643	0.00907918237745584	NA	NA	0.00501091486406033	NA	0.0017364556459615
