"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Coprobacter"	"patient_status"	"Control"	"patient_statusControl"	-2.19270199872342	0.312414540857525	0.407387112441835	0.00065578545084799	0.0590206905763191	0.00065578545084799	0.0321334870915515	NA	"abundance"	27	12
"Faecalibacterium"	"patient_status"	"Control"	"patient_statusControl"	-5.12937825662088	0.312414540857525	1.17827025789631	0.00159482130082822	0.0717669585372699	0.00159482130082822	0.0390731218702914	NA	"abundance"	27	11
"Erysipelatoclostridium"	"patient_status"	"Control"	"patient_statusControl"	2.84181653880176	0	0.964579786848522	0.00321734972611958	0.0965204917835873	0.00642434811297899	0.0885896506230048	NA	"prevalence"	27	15
"Catabacter"	"patient_status"	"Control"	"patient_statusControl"	-3.87611127139513	0.312414540857525	1.07416635077691	0.00723180821412284	0.162715684817764	0.00723180821412284	0.0885896506230048	NA	"abundance"	27	9
"Paraprevotella"	"patient_status"	"Control"	"patient_statusControl"	-0.968580835641608	0.312414540857525	0.216487511446742	0.00981792301788986	0.176722614322018	0.00981792301788986	0.0962156455753207	NA	"abundance"	27	10
"Erysipelatoclostridium"	"patient_status"	"Control"	"patient_statusControl"	-0.494985245166979	0.312414540857525	1.39616511775426	0.574594204627441	0.784255095779092	0.00642434811297899	0.0885896506230048	NA	"abundance"	27	15
"Catabacter"	"patient_status"	"Control"	"patient_statusControl"	-1.83986914083675	0	0.906939209567728	0.0424931750286487	0.332014457612988	0.00723180821412284	0.0885896506230048	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	9
"Faecalibacterium"	"patient_status"	"Control"	"patient_statusControl"	-1.69231827145063	0	0.841305380352128	0.0442685943483985	0.332014457612988	0.00159482130082822	0.0390731218702914	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	11
"Paraprevotella"	"patient_status"	"Control"	"patient_statusControl"	-0.730460748190426	0	0.794103326587403	0.357647989257379	0.656904470064574	0.00981792301788986	0.0962156455753207	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	10
"Coprobacter"	"patient_status"	"Control"	"patient_statusControl"	-0.128648423457232	0	0.761035359544823	0.865762071520556	0.938778149841567	0.00065578545084799	0.0321334870915515	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	27	12
